Number of qubits,Output,Occurrences
14,'11001001011000',1
14,'11001001011010',1
14,'11001001100000',1
14,'11001001110011',1
14,'11001001110100',1
14,'11001010000111',2
14,'00001100101001',1
14,'11001010010000',1
14,'11001010011000',1
14,'11001010100110',1
14,'11001010101000',1
14,'11001010101110',1
14,'11001010110010',1
14,'11001011000111',1
14,'11001011010010',1
14,'11001011100000',1
14,'11001011111000',1
14,'11001100000010',1
14,'11001100001110',1
14,'11001100010000',1
14,'11001100010001',1
14,'11001100011111',1
14,'11001100100111',1
14,'11001100110000',1
14,'11001101000011',1
14,'11001101001000',1
14,'11001101001111',1
14,'11001101010100',1
14,'11001101100011',1
14,'11001101100100',1
14,'00001100110111',1
14,'11001110000010',1
14,'11001110001100',1
14,'11001110011010',1
14,'11001110011100',1
14,'11001110011111',1
14,'11001110100110',1
14,'11001110110010',1
14,'11001111001000',1
14,'11001111010000',1
14,'11001111101001',1
14,'11001111101110',1
14,'11001111111100',1
14,'11010000011010',1
14,'11010000101100',1
14,'11010000111101',1
14,'11010001000001',1
14,'11010001001011',1
14,'11010001001110',1
14,'00001101000110',1
14,'11010001100001',1
14,'11010001100110',1
14,'11010001101011',1
14,'11010010001010',1
14,'11010010011100',2
14,'11010010011110',1
14,'11010010110100',1
14,'11010011011010',1
14,'11010011100100',1
14,'11010011101000',1
14,'11010100000011',1
14,'11010100011000',1
14,'11010100100000',1
14,'11010101010000',1
14,'11010101011001',2
14,'11010110010000',1
14,'11010110010100',1
14,'11010110101000',1
14,'11010110110111',1
14,'11010110111100',1
14,'11010111100001',1
14,'11010111110011',1
14,'11011000011010',1
14,'11011000100100',1
14,'11011000100110',1
14,'11011000101110',1
14,'11011000101111',1
14,'00001101100110',1
14,'11011001101010',1
14,'11011001111010',1
14,'11011001111011',1
14,'11011010000011',1
14,'11011010001101',1
14,'11011010010001',1
14,'11011010100011',1
14,'11011010100101',1
14,'11011010111000',1
14,'11011011010110',1
14,'11011011011101',1
14,'11011011011110',1
14,'11011011100110',1
14,'11011011100111',1
14,'11011011101110',1
14,'11011011110010',1
14,'11011011110111',1
14,'00001101110000',1
14,'11011100011000',1
14,'11011100100001',1
14,'11011100100100',1
14,'11011100100101',1
14,'11011100110000',1
14,'00001101110100',1
14,'11011101000000',1
14,'11011101110011',1
14,'11011101111111',1
14,'11011110100001',1
14,'11011110100010',1
14,'11011110100110',1
14,'11011110101100',1
14,'00001101111011',1
14,'11011111110000',1
14,'11100000010000',1
14,'11100000100011',1
14,'11100000110010',1
14,'11100000110110',1
14,'11100000111110',1
14,'11100001101001',1
14,'11100001101110',1
14,'11100001110001',1
14,'11100001111011',1
14,'11100010001000',1
14,'11100010001001',1
14,'00001110001001',1
14,'11100011111100',1
14,'00001110010000',1
14,'00001110010001',1
14,'11100100010001',1
14,'11100100100010',1
14,'11100101000010',1
14,'11100101000011',1
14,'11100101001101',1
14,'11100101100101',1
14,'11100101111110',1
14,'11100110000100',1
14,'11100110110011',1
14,'11100110110100',1
14,'11100110111010',1
14,'11100110111110',1
14,'11100111010000',1
14,'11100111101100',1
14,'11100111110010',1
14,'11101000101110',1
14,'00001110100100',1
14,'11101001111110',1
14,'00001110101000',1
14,'11101010101001',1
14,'11101011101001',1
14,'11101100011000',1
14,'11101100011111',1
14,'11101100101000',1
14,'11101100101100',1
14,'11101100101110',1
14,'11101100110011',1
14,'11101101000001',1
14,'11101101001100',1
14,'11101110100000',1
14,'11110000000110',1
14,'00001111000010',1
14,'00001111000101',1
14,'11110001100110',1
14,'11110010000110',1
14,'11110010001010',1
14,'11110010001101',1
14,'11110010100101',1
14,'11110011001110',1
14,'11110011001111',1
14,'11110011111000',1
14,'11110100000011',1
14,'11110100010000',1
14,'11110100010010',1
14,'11110100011010',1
14,'00001111010010',1
14,'11110101011011',1
14,'11110101100001',1
14,'11110101110111',1
14,'11110110010100',1
14,'11110111010000',1
14,'00001111100000',1
14,'11111000010010',1
14,'11111000010110',1
14,'11111000100001',1
14,'11111000110111',1
14,'11111001000010',1
14,'11111001001001',1
14,'11111001001100',1
14,'11111001110010',1
14,'11111011001101',1
14,'00001111101111',1
14,'11111100010000',1
14,'11111100110010',1
14,'11111101110110',1
14,'00001111111000',1
14,'11111110010001',1
14,'11111110110110',1
14,'11111110111111',1
14,'00001111111100',1
14,'00001111111101',1
14,'11111111100110',1
14,'11111111111001',1
14,'00010000010001',1
14,'00010000011010',1
14,'00010000011110',1
14,'00010000110100',1
14,'00010001000110',1
14,'00010001001001',1
14,'00010001011010',1
14,'00010001110100',1
14,'00010010000011',1
14,'00010010001001',1
14,'00010010010000',1
14,'00010010011101',1
14,'00010010100011',1
14,'00010010101000',1
14,'00010010101010',1
14,'00010010101110',1
14,'00000001001011',1
14,'00010010110100',1
14,'00010010111100',1
14,'00010011001001',1
14,'00010011100111',1
14,'00010011110010',1
14,'00010100001001',1
14,'00010100101100',1
14,'00010100111001',1
14,'00010101010100',1
14,'00010101010110',1
14,'00010101100110',1
14,'00010101110111',1
14,'00010101111111',1
14,'00010110001001',1
14,'00010110101100',1
14,'00010110111000',2
14,'00010110111001',1
14,'00010110111110',1
14,'00010111010001',1
14,'00010111011111',1
14,'00010111110100',1
14,'00010111110101',1
14,'00010111111011',1
14,'00010111111100',1
14,'00011000001011',1
14,'00011000011001',1
14,'00011000110111',1
14,'00011000111000',1
14,'00000001100101',1
14,'00011001010000',1
14,'00011001011001',1
14,'00011001011010',1
14,'00011001101111',1
14,'00011001110001',2
14,'00011001110011',1
14,'00011001110111',1
14,'00011001111110',1
14,'00011010001001',1
14,'00011010011000',1
14,'00011010100110',1
14,'00011010101110',2
14,'00011011001011',1
14,'00011011011001',1
14,'00011011100011',1
14,'00011011100111',1
14,'00011011110000',1
14,'00011100000011',1
14,'00011100100011',1
14,'00011100101100',1
14,'00011100110100',1
14,'00011100110110',1
14,'00011101000000',1
14,'00000001110101',1
14,'00011101011001',1
14,'00000001111000',1
14,'00011110000110',1
14,'00011110000111',1
14,'00011110100110',1
14,'00000001111011',1
14,'00011110110010',1
14,'00011110111010',1
14,'00011111001001',1
14,'00011111001110',1
14,'00011111001111',1
14,'00011111101010',1
14,'00100000000001',1
14,'00100000000010',2
14,'00100000110100',1
14,'00100000111000',1
14,'00100010000011',1
14,'00000010001010',1
14,'00100011101100',1
14,'00100100000010',1
14,'00100100100010',1
14,'00100101001000',1
14,'00100101110100',1
14,'00100110000100',1
14,'00100110001000',1
14,'00100110010001',1
14,'00100111011101',1
14,'00000010011111',1
14,'00100111111101',1
14,'00101000001101',1
14,'00000010100001',1
14,'00101000011111',1
14,'00101000111100',1
14,'00101001100101',1
14,'00101001111000',1
14,'00101010001111',1
14,'00101010101001',1
14,'00101010111001',1
14,'00101011010000',1
14,'00101011011110',1
14,'00101011110100',1
14,'00101100011000',1
14,'00101100110000',1
14,'00101101000101',1
14,'00101101110000',1
14,'00101101111100',2
14,'00000010111000',1
14,'00000010111011',1
14,'00101111001100',1
14,'00000010111101',1
14,'00101111010100',1
14,'00000011000000',1
14,'00110000000101',1
14,'00110000001010',1
14,'00110000001011',1
14,'00000011000011',1
14,'00000011000100',1
14,'00110001001111',1
14,'00000011000101',1
14,'00110001011011',1
14,'00110001111100',1
14,'00110010001010',1
14,'00110010100000',1
14,'00110010111000',1
14,'00110011101100',1
14,'00110100001001',1
14,'00000011010010',1
14,'00110100100101',1
14,'00110100100111',1
14,'00110100101000',1
14,'00110100101001',1
14,'00000011010011',1
14,'00110100110001',1
14,'00110101010010',1
14,'00110101011010',1
14,'00000011010111',1
14,'00110110000110',1
14,'00110110010001',1
14,'00110111000010',1
14,'00110111001101',1
14,'00110111111100',1
14,'00000000001110',1
14,'00000011100010',1
14,'00111000111110',1
14,'00111001111011',1
14,'00111010001000',1
14,'00111010010110',1
14,'00111010101001',1
14,'00111010110101',1
14,'00111011001111',1
14,'00111011010010',1
14,'00111011100101',1
14,'00000011110000',1
14,'00111100001101',1
14,'00111100010011',1
14,'00111100110100',1
14,'00111101000110',1
14,'00111101011010',1
14,'00111101011110',1
14,'00111101111001',1
14,'00111110000001',1
14,'00111110000100',1
14,'00111110011111',1
14,'00111111011001',1
14,'00111111110010',1
